Date,Open,High,Low,Close,Adj Close,Volume,Yesterday_Open,Yesterday_High,Yesterday_Low,Yesterday_Close,Yesterday_AdjClose,Yesterday_Volumne,Market
3/22/12,3055,3068.5,3050.699951,3063.320068,3063.320068,1524800000,3077.439941,3090.080078,3069.090088,3075.320068,3075.320068,1552400000,Red
3/23/12,3066.370117,3070.929932,3044.669922,3067.919922,3067.919922,1428940000,3055,3068.5,3050.699951,3063.320068,3063.320068,1524800000,Green
3/26/12,3090.52002,3122.570068,3090.050049,3122.570068,3122.570068,1627520000,3066.370117,3070.929932,3044.669922,3067.919922,3067.919922,1428940000,Green
3/27/12,3124.060059,3134.169922,3119.030029,3120.350098,3120.350098,1662460000,3090.52002,3122.570068,3090.050049,3122.570068,3122.570068,1627520000,Red
3/28/12,3123.840088,3130.560059,3086.929932,3104.959961,3104.959961,1765680000,3124.060059,3134.169922,3119.030029,3120.350098,3120.350098,1662460000,Red
3/29/12,3087.25,3099.800049,3069.810059,3095.360107,3095.360107,1756160000,3123.840088,3130.560059,3086.929932,3104.959961,3104.959961,1765680000,Red
3/30/12,3110.969971,3111.550049,3079.050049,3091.570068,3091.570068,1833130000,3087.25,3099.800049,3069.810059,3095.360107,3095.360107,1756160000,Red
4/2/12,3085.939941,3123.030029,3079.780029,3119.699951,3119.699951,1768210000,3110.969971,3111.550049,3079.050049,3091.570068,3091.570068,1833130000,Green
4/3/12,3119.649902,3128.25,3097.409912,3113.570068,3113.570068,1804950000,3085.939941,3123.030029,3079.780029,3119.699951,3119.699951,1768210000,Red
4/4/12,3085.459961,3086.350098,3052.580078,3068.090088,3068.090088,1813150000,3119.649902,3128.25,3097.409912,3113.570068,3113.570068,1804950000,Red
4/5/12,3061.75,3083.379883,3061.139893,3080.5,3080.5,1548040000,3085.459961,3086.350098,3052.580078,3068.090088,3068.090088,1813150000,Green
4/9/12,3037.280029,3058.76001,3032.219971,3047.080078,3047.080078,1371140000,3061.75,3083.379883,3061.139893,3080.5,3080.5,1548040000,Red
4/10/12,3044.669922,3055.199951,2987,2991.219971,2991.219971,1953600000,3037.280029,3058.76001,3032.219971,3047.080078,3047.080078,1371140000,Red
4/11/12,3020.149902,3030.51001,3008.75,3016.459961,3016.459961,1540890000,3044.669922,3055.199951,2987,2991.219971,2991.219971,1953600000,Green
4/12/12,3023.110107,3059.26001,3020.439941,3055.550049,3055.550049,1480340000,3020.149902,3030.51001,3008.75,3016.459961,3016.459961,1540890000,Green
4/13/12,3045.080078,3045.419922,3010.77002,3011.330078,3011.330078,1483850000,3023.110107,3059.26001,3020.439941,3055.550049,3055.550049,1480340000,Red
4/16/12,3027.570068,3027.570068,2975.870117,2988.399902,2988.399902,1594320000,3045.080078,3045.419922,3010.77002,3011.330078,3011.330078,1483850000,Red
4/17/12,3002.02002,3052.76001,2999.48999,3042.820068,3042.820068,1555070000,3027.570068,3027.570068,2975.870117,2988.399902,2988.399902,1594320000,Green
4/18/12,3031.820068,3045.040039,3023.909912,3031.449951,3031.449951,1599470000,3002.02002,3052.76001,2999.48999,3042.820068,3042.820068,1555070000,Red
4/19/12,3028.199951,3058.719971,2994.939941,3007.560059,3007.560059,1991120000,3031.820068,3045.040039,3023.909912,3031.449951,3031.449951,1599470000,Red
4/20/12,3023.72998,3034.689941,2999.01001,3000.449951,3000.449951,1935880000,3028.199951,3058.719971,2994.939941,3007.560059,3007.560059,1991120000,Red
4/23/12,2969,2973.379883,2946.040039,2970.449951,2970.449951,1767360000,3023.72998,3034.689941,2999.01001,3000.449951,3000.449951,1935880000,Red
4/24/12,2967.370117,2979.080078,2950.379883,2961.600098,2961.600098,1690840000,2969,2973.379883,2946.040039,2970.449951,2970.449951,1767360000,Red
4/25/12,3013.649902,3031.409912,3010.570068,3029.629883,3029.629883,1721330000,2967.370117,2979.080078,2950.379883,2961.600098,2961.600098,1690840000,Green
4/26/12,3029.620117,3056.77002,3027.790039,3050.610107,3050.610107,1763510000,3013.649902,3031.409912,3010.570068,3029.629883,3029.629883,1721330000,Green
4/27/12,3060.340088,3076.439941,3043.300049,3069.199951,3069.199951,1777750000,3029.620117,3056.77002,3027.790039,3050.610107,3050.610107,1763510000,Green
4/30/12,3060.060059,3063.659912,3043.25,3046.360107,3046.360107,1633170000,3060.340088,3076.439941,3043.300049,3069.199951,3069.199951,1777750000,Red
5/1/12,3044.790039,3085.399902,3041.620117,3050.439941,3050.439941,1854230000,3060.060059,3063.659912,3043.25,3046.360107,3046.360107,1633170000,Green
5/2/12,3035.070068,3061.469971,3028.939941,3059.850098,3059.850098,1825190000,3044.790039,3085.399902,3041.620117,3050.439941,3050.439941,1854230000,Green
5/3/12,3061.129883,3061.379883,3016.199951,3024.300049,3024.300049,1869130000,3035.070068,3061.469971,3028.939941,3059.850098,3059.850098,1825190000,Red
5/4/12,3001.149902,3001.47998,2956.340088,2956.340088,2956.340088,1944010000,3061.129883,3061.379883,3016.199951,3024.300049,3024.300049,1869130000,Red
5/7/12,2940.409912,2970.199951,2939.209961,2957.76001,2957.76001,1740430000,3001.149902,3001.47998,2956.340088,2956.340088,2956.340088,1944010000,Green
5/8/12,2939.360107,2952.649902,2900.060059,2946.27002,2946.27002,2175840000,2940.409912,2970.199951,2939.209961,2957.76001,2957.76001,1740430000,Red
5/9/12,2912.409912,2948.77002,2900.179932,2934.709961,2934.709961,2047090000,2939.360107,2952.649902,2900.060059,2946.27002,2946.27002,2175840000,Red
5/10/12,2950.209961,2950.209961,2923.139893,2933.639893,2933.639893,2004150000,2912.409912,2948.77002,2900.179932,2934.709961,2934.709961,2047090000,Red
5/11/12,2919.350098,2960.379883,2918.73999,2933.820068,2933.820068,1735380000,2950.209961,2950.209961,2923.139893,2933.639893,2933.639893,2004150000,Green
5/14/12,2907.780029,2924.889893,2898.899902,2902.580078,2902.580078,1683460000,2919.350098,2960.379883,2918.73999,2933.820068,2933.820068,1735380000,Red
5/15/12,2902.300049,2930.679932,2889.389893,2893.76001,2893.76001,1826210000,2907.780029,2924.889893,2898.899902,2902.580078,2902.580078,1683460000,Red
5/16/12,2904.669922,2913.899902,2872.25,2874.040039,2874.040039,1933900000,2902.300049,2930.679932,2889.389893,2893.76001,2893.76001,1826210000,Red
5/17/12,2874.709961,2879.219971,2813.689941,2813.689941,2813.689941,2016980000,2904.669922,2913.899902,2872.25,2874.040039,2874.040039,1933900000,Red
5/18/12,2814.429932,2827.280029,2774.449951,2778.790039,2778.790039,2692450000,2874.709961,2879.219971,2813.689941,2813.689941,2813.689941,2016980000,Red
5/21/12,2782.550049,2848.830078,2774.76001,2847.209961,2847.209961,1870420000,2814.429932,2827.280029,2774.449951,2778.790039,2778.790039,2692450000,Green
5/22/12,2853.870117,2867.340088,2823.219971,2839.080078,2839.080078,1861850000,2782.550049,2848.830078,2774.76001,2847.209961,2847.209961,1870420000,Red
5/23/12,2832.169922,2855.350098,2795.5,2850.120117,2850.120117,1929640000,2853.870117,2867.340088,2823.219971,2839.080078,2839.080078,1861850000,Green
5/24/12,2856.550049,2858.23999,2817.620117,2839.379883,2839.379883,1750290000,2832.169922,2855.350098,2795.5,2850.120117,2850.120117,1929640000,Red
5/25/12,2839.73999,2846.310059,2829.76001,2837.530029,2837.530029,1282680000,2856.550049,2858.23999,2817.620117,2839.379883,2839.379883,1750290000,Red
5/29/12,2853.27002,2882.830078,2846.679932,2870.98999,2870.98999,221430000,2839.73999,2846.310059,2829.76001,2837.530029,2837.530029,1282680000,Green
5/30/12,2847.27002,2847.27002,2825.639893,2837.360107,2837.360107,1671040000,2853.27002,2882.830078,2846.679932,2870.98999,2870.98999,221430000,Red
5/31/12,2837.370117,2842.429932,2801.959961,2827.340088,2827.340088,2180130000,2847.27002,2847.27002,2825.639893,2837.360107,2837.360107,1671040000,Red
6/1/12,2810.129883,2810.129883,2747.23999,2747.47998,2747.47998,1966370000,2837.370117,2842.429932,2801.959961,2827.340088,2827.340088,2180130000,Red
6/4/12,2747.610107,2769.929932,2726.679932,2760.01001,2760.01001,1755750000,2810.129883,2810.129883,2747.23999,2747.47998,2747.47998,1966370000,Green
6/5/12,2749.350098,2781.969971,2749.340088,2778.110107,2778.110107,1625600000,2747.610107,2769.929932,2726.679932,2760.01001,2760.01001,1755750000,Green
6/6/12,2796.22998,2844.719971,2796.22998,2844.719971,2844.719971,1761050000,2749.350098,2781.969971,2749.340088,2778.110107,2778.110107,1625600000,Green
6/7/12,2872.050049,2873.590088,2827.820068,2831.02002,2831.02002,1655370000,2796.22998,2844.719971,2796.22998,2844.719971,2844.719971,1761050000,Red
6/8/12,2823.820068,2860.939941,2814.800049,2858.419922,2858.419922,1390260000,2872.050049,2873.590088,2827.820068,2831.02002,2831.02002,1655370000,Green
6/11/12,2882.48999,2882.959961,2806.899902,2809.72998,2809.72998,1480220000,2823.820068,2860.939941,2814.800049,2858.419922,2858.419922,1390260000,Red
6/12/12,2815.840088,2843.669922,2802.379883,2843.070068,2843.070068,1594310000,2882.48999,2882.959961,2806.899902,2809.72998,2809.72998,1480220000,Green
6/13/12,2838.120117,2853.169922,2810.590088,2818.610107,2818.610107,1602080000,2815.840088,2843.669922,2802.379883,2843.070068,2843.070068,1594310000,Red
6/14/12,2820.629883,2842.310059,2807.550049,2836.330078,2836.330078,1633370000,2838.120117,2853.169922,2810.590088,2818.610107,2818.610107,1602080000,Green
6/15/12,2839.399902,2874.379883,2837.939941,2872.800049,2872.800049,2020100000,2820.629883,2842.310059,2807.550049,2836.330078,2836.330078,1633370000,Green
6/18/12,2872.48999,2903.030029,2853.860107,2895.330078,2895.330078,1586190000,2839.399902,2874.379883,2837.939941,2872.800049,2872.800049,2020100000,Green
6/19/12,2909.870117,2940.22998,2908.449951,2929.76001,2929.76001,1835480000,2872.48999,2903.030029,2853.860107,2895.330078,2895.330078,1586190000,Green
6/20/12,2932.959961,2942.280029,2910,2930.449951,2930.449951,1563080000,2909.870117,2940.22998,2908.449951,2929.76001,2929.76001,1835480000,Green
6/21/12,2929.149902,2930.929932,2857.100098,2859.090088,2859.090088,1822200000,2932.959961,2942.280029,2910,2930.449951,2930.449951,1563080000,Red
6/22/12,2866.169922,2894.350098,2863.929932,2892.419922,2892.419922,3544010000,2929.149902,2930.929932,2857.100098,2859.090088,2859.090088,1822200000,Green
6/25/12,2863.889893,2863.889893,2829.22998,2836.159912,2836.159912,1514430000,2866.169922,2894.350098,2863.929932,2892.419922,2892.419922,3544010000,Red
6/26/12,2845.399902,2862.149902,2832.02002,2854.060059,2854.060059,1623160000,2863.889893,2863.889893,2829.22998,2836.159912,2836.159912,1514430000,Green
6/27/12,2862.129883,2882.399902,2860.129883,2875.320068,2875.320068,1668580000,2845.399902,2862.149902,2832.02002,2854.060059,2854.060059,1623160000,Green
6/28/12,2853.889893,2855.73999,2818.189941,2849.48999,2849.48999,1795850000,2862.129883,2882.399902,2860.129883,2875.320068,2875.320068,1668580000,Red
6/29/12,2902.439941,2935.129883,2895.600098,2935.050049,2935.050049,2021190000,2853.889893,2855.73999,2818.189941,2849.48999,2849.48999,1795850000,Green
7/2/12,2938.409912,2951.22998,2925.709961,2951.22998,2951.22998,1845240000,2902.439941,2935.129883,2895.600098,2935.050049,2935.050049,2021190000,Green
7/3/12,2950.810059,2976.080078,2948.399902,2976.080078,2976.080078,1009330000,2938.409912,2951.22998,2925.709961,2951.22998,2951.22998,1845240000,Green
7/5/12,2970.370117,2987.939941,2958.300049,2976.120117,2976.120117,1423990000,2950.810059,2976.080078,2948.399902,2976.080078,2976.080078,1009330000,Green
7/6/12,2955.199951,2957.5,2921.370117,2937.330078,2937.330078,1437420000,2970.370117,2987.939941,2958.300049,2976.120117,2976.120117,1423990000,Red
7/9/12,2934.48999,2942.98999,2919.040039,2931.77002,2931.77002,1455500000,2955.199951,2957.5,2921.370117,2937.330078,2937.330078,1437420000,Red
7/10/12,2945.350098,2953.469971,2891.419922,2902.330078,2902.330078,1725730000,2934.48999,2942.98999,2919.040039,2931.77002,2931.77002,1455500000,Red
7/11/12,2898.77002,2905.51001,2866.530029,2887.97998,2887.97998,1635120000,2945.350098,2953.469971,2891.419922,2902.330078,2902.330078,1725730000,Red
7/12/12,2867.080078,2876.320068,2837.719971,2866.189941,2866.189941,1719460000,2898.77002,2905.51001,2866.530029,2887.97998,2887.97998,1635120000,Red
7/13/12,2874.060059,2913.280029,2873.389893,2908.469971,2908.469971,1373620000,2867.080078,2876.320068,2837.719971,2866.189941,2866.189941,1719460000,Green
7/16/12,2903.030029,2910.199951,2888.01001,2896.939941,2896.939941,1414470000,2874.060059,2913.280029,2873.389893,2908.469971,2908.469971,1373620000,Red
7/17/12,2911.459961,2916.610107,2871.649902,2910.040039,2910.040039,1774160000,2903.030029,2910.199951,2888.01001,2896.939941,2896.939941,1414470000,Green
7/18/12,2904.23999,2951.300049,2902.949951,2942.600098,2942.600098,1817040000,2911.459961,2916.610107,2871.649902,2910.040039,2910.040039,1774160000,Green
7/19/12,2961.709961,2976.219971,2952.419922,2965.899902,2965.899902,1735920000,2904.23999,2951.300049,2902.949951,2942.600098,2942.600098,1817040000,Green
7/20/12,2957.02002,2957.02002,2925.300049,2925.300049,2925.300049,1810420000,2961.709961,2976.219971,2952.419922,2965.899902,2965.899902,1735920000,Red
7/23/12,2877.51001,2898.050049,2852.879883,2890.149902,2890.149902,1607140000,2957.02002,2957.02002,2925.300049,2925.300049,2925.300049,1810420000,Red
7/24/12,2894.949951,2896.560059,2847.219971,2862.98999,2862.98999,1748410000,2877.51001,2898.050049,2852.879883,2890.149902,2890.149902,1607140000,Red
7/25/12,2856.780029,2870.219971,2839.76001,2854.23999,2854.23999,1784150000,2894.949951,2896.560059,2847.219971,2862.98999,2862.98999,1748410000,Red
7/26/12,2896.679932,2905.570068,2876.01001,2893.25,2893.25,1981520000,2856.780029,2870.219971,2839.76001,2854.23999,2854.23999,1784150000,Green
7/27/12,2906.5,2961.870117,2900.97998,2958.090088,2958.090088,2102610000,2896.679932,2905.570068,2876.01001,2893.25,2893.25,1981520000,Green
